target,feature_1,feature_2,feature_3,avg_R2,avg_MSE
sigma_110_s,Nb,eta,gamma_110_usf,0.12110948667148358,162120.63017545574
sigma_110_s,Nb,eta,gamma_112_usf,0.1878561275044417,149808.50789192706
sigma_110_s,Nb,eta,gamma_123_usf,0.2187807085995688,144104.1425597005
sigma_110_s,Nb,eta,tao_110_iss,0.31534307858236715,126292.19438704429
sigma_110_s,Nb,eta,tao_112_iss,0.29809071399016907,129474.57510146487
sigma_110_s,Nb,eta,tao_123_iss,0.34674718813564587,120499.37497021485
sigma_110_s,Nb,a0,C11,0.5375399801236631,85305.63103857423
sigma_110_s,Nb,a0,C12,0.6195567452953854,70176.77317408855
sigma_110_s,Nb,a0,C44,0.5580965315160723,81513.75819954426
sigma_110_s,Nb,a0,Ac,0.5498464750990557,83035.56816907553
sigma_110_s,Nb,a0,Ecoh_(eV),0.5963168499477292,74463.6171231771
sigma_110_s,Nb,a0,gamma_110_usf,0.4108713921642075,108670.98883001303
sigma_110_s,Nb,a0,gamma_112_usf,0.43748544157103125,103761.74655703125
sigma_110_s,Nb,a0,gamma_123_usf,0.42545447583429263,105980.98515078124
sigma_110_s,Nb,a0,tao_110_iss,0.6088332003399709,72154.8442074219
sigma_110_s,Nb,a0,tao_112_iss,0.581537894012563,77189.75150875653
sigma_110_s,Nb,a0,tao_123_iss,0.5575438969048273,81615.69748557945
sigma_110_s,Nb,C11,C12,0.42566351439165456,105942.4257828776
sigma_110_s,Nb,C11,C44,0.01772227661952509,181191.49212187502
sigma_110_s,Nb,C11,Ac,0.40728214026465337,109333.06422050782
sigma_110_s,Nb,C11,Ecoh_(eV),0.3413319592892079,121498.27107822262
sigma_110_s,Nb,C11,gamma_110_usf,0.33326540917489617,122986.23137366537
sigma_110_s,Nb,C11,gamma_112_usf,0.13346732963040883,159841.09562851564
sigma_110_s,Nb,C11,gamma_123_usf,0.21613861650136088,144591.50432939455
sigma_110_s,Nb,C11,tao_110_iss,0.40807374769421817,109187.043876237
