target,feature_1,feature_2,feature_3,avg_R2,FF,FFS,SF,SFS,TF,TFS
sigma_112_e,Ta,gamma_110_usf,tao_112_iss,0.7651480929247554,gamma_110_usf,0.5887695344442992,tao_112_iss,0.1518031741097476,Ta,-0.004123415363118379
sigma_112_e,Ta,gamma_112_usf,gamma_123_usf,0.792891309666743,gamma_112_usf,0.48312927546487755,gamma_123_usf,0.3037132864423207,Ta,0.00016315183404821198
sigma_112_e,Ta,gamma_123_usf,tao_110_iss,0.7486379521117121,gamma_123_usf,0.6842273041069734,tao_110_iss,0.11728167054223171,Ta,-0.0007938100398280835
sigma_112_e,Ti,Mo,gamma_110_usf,0.7750236978520113,gamma_110_usf,0.45850926860160546,Mo,0.30126614507592175,Ti,0.0028511922938269374
sigma_112_e,Ti,Mo,gamma_112_usf,0.7721783782294577,gamma_112_usf,0.46454262074115954,Mo,0.3587623751725784,Ti,0.003866340999717439
sigma_112_e,Ti,Mo,gamma_123_usf,0.7837716914617491,gamma_123_usf,0.4380994410748568,Mo,0.3610145376998308,Ti,0.00017303623064094525
sigma_112_e,Ti,Hf,gamma_110_usf,0.7718022571258016,gamma_110_usf,0.9949595617959183,Ti,0.0018714378963775359,Hf,0.0007803846044849889
sigma_112_e,Ti,Hf,gamma_112_usf,0.7539046590291263,gamma_112_usf,1.0153146291353727,Ti,0.0023269630123382476,Hf,0.0008764473766744387
sigma_112_e,Ti,Hf,gamma_123_usf,0.7679229358037237,gamma_123_usf,0.963464264925543,Ti,0.0038437986547789973,Hf,0.0004214772048941495
sigma_112_e,Ti,Zr,gamma_110_usf,0.7873072450396111,gamma_110_usf,1.0400962373115699,Zr,0.0013006857489134508,Ti,0.0012652082814936145
sigma_112_e,Ti,Zr,gamma_112_usf,0.7690871697491547,gamma_112_usf,1.0457546414935575,Ti,0.00035204555647124397,Zr,-0.00198383667948502
sigma_112_e,Ti,Zr,gamma_123_usf,0.7694407114115448,gamma_123_usf,1.0552715818260194,Ti,-0.00020194901081842473,Zr,-0.0010058684890944017
sigma_112_e,Ti,C11,gamma_112_usf,0.727070543713488,gamma_112_usf,0.4080074007586922,C11,0.29362607132824065,Ti,0.003218626107502176
sigma_112_e,Ti,C11,gamma_123_usf,0.711628818168923,gamma_123_usf,0.4669601830155774,C11,0.29287656160963993,Ti,0.0037265641746561176
sigma_112_e,Ti,C12,gamma_110_usf,0.7630536938385443,C12,0.44782454761086293,gamma_110_usf,0.2852124188637113,Ti,0.0011543490866444198
sigma_112_e,Ti,C12,gamma_112_usf,0.7721083626012488,gamma_112_usf,0.40012240561220724,C12,0.366676180724493,Ti,-0.0005003782190772752
sigma_112_e,Ti,C12,gamma_123_usf,0.7518139283597466,gamma_123_usf,0.48675650137255616,C12,0.28684915414424583,Ti,0.0022531595588147096
sigma_112_e,Ti,C44,gamma_110_usf,0.7426165892214204,gamma_110_usf,0.621037258946375,C44,0.1493699464080221,Ti,0.0005845482930789658
sigma_112_e,Ti,C44,gamma_123_usf,0.7149885749759196,gamma_123_usf,0.7113765061125615,C44,0.13503533852955887,Ti,0.0030696984123282415
sigma_112_e,Ti,Ecoh_(eV),gamma_110_usf,0.7888064485285023,gamma_110_usf,1.0679654457047858,Ti,0.0009040636940741651,Ecoh_(eV),0.0005882804878351323
sigma_112_e,Ti,Ecoh_(eV),gamma_112_usf,0.7537966622149265,gamma_112_usf,1.1341571146343963,Ecoh_(eV),0.0011378927088663351,Ti,0.0011372790623223837
sigma_112_e,Ti,Ecoh_(eV),gamma_123_usf,0.7654157132693612,gamma_123_usf,1.0497826717422774,Ti,0.003008403382796905,Ecoh_(eV),-0.0001934724060083104
sigma_112_e,Ti,gamma_110_usf,gamma_112_usf,0.7568834878379739,gamma_112_usf,0.40848428607387594,gamma_110_usf,0.3686049307734809,Ti,8.858018863298438e-05
