target,feature_1,feature_2,feature_3,avg_R2,top_feature,top_feature_score,second_top_feature,second_top_feature_score
sigma_112_e,Ti,C12,gamma_123_usf,0.7518139283597466,C12,0.5086198491569597,gamma_123_usf,0.2609169857303855
sigma_112_e,Ti,C44,gamma_110_usf,0.7426165892214204,gamma_110_usf,0.6653336199838279,C44,0.1513948606287255
sigma_112_e,Ti,C44,gamma_123_usf,0.7149885749759196,gamma_123_usf,0.6974523920012453,C44,0.1449730807819786
sigma_112_e,Ti,Ecoh_(eV),gamma_110_usf,0.7888064485285023,gamma_110_usf,1.0217423616700507,Ti,0.0011980728343291096
sigma_112_e,Ti,Ecoh_(eV),gamma_112_usf,0.7537966622149265,gamma_112_usf,1.0167205376425164,Ecoh_(eV),0.0004904744146997491
sigma_112_e,Ti,Ecoh_(eV),gamma_123_usf,0.7654157132693612,gamma_123_usf,1.0817642531249703,Ecoh_(eV),0.0008746059449516175
sigma_112_e,Ti,gamma_110_usf,gamma_112_usf,0.7568834878379739,gamma_110_usf,0.40973115446683656,gamma_112_usf,0.39971305202019103
sigma_112_e,Ti,gamma_110_usf,gamma_123_usf,0.7764807842265967,gamma_110_usf,0.4155731052574307,gamma_123_usf,0.3778682088252412
sigma_112_e,Ti,gamma_110_usf,tao_110_iss,0.7450336180775602,gamma_110_usf,0.6640606652246762,tao_110_iss,0.1310775800411587
sigma_112_e,Ti,gamma_112_usf,gamma_123_usf,0.8098715422675195,gamma_123_usf,0.4444794995761574,gamma_112_usf,0.3649494320498054
sigma_112_e,Ti,gamma_112_usf,tao_110_iss,0.7187137076142105,gamma_112_usf,0.7583904446768314,tao_110_iss,0.08140401772887913
sigma_112_e,Ti,gamma_112_usf,tao_112_iss,0.7195482072670587,gamma_112_usf,0.655635778858952,tao_112_iss,0.14700407591859277
sigma_112_e,Ti,gamma_123_usf,tao_110_iss,0.7331241425972007,gamma_123_usf,0.678847702339029,tao_110_iss,0.12990224653694285
sigma_112_e,Ti,gamma_123_usf,tao_112_iss,0.7203290694251351,gamma_123_usf,0.6855393715241722,tao_112_iss,0.12467313608926334
sigma_112_e,Mo,Hf,gamma_110_usf,0.7430589704023088,gamma_110_usf,0.4337453998128505,Mo,0.35379046351386484
sigma_112_e,Mo,Hf,gamma_112_usf,0.7573420235301187,gamma_112_usf,0.42073789004501666,Mo,0.36911548290809093
sigma_112_e,Mo,Hf,gamma_123_usf,0.7644310293315469,gamma_123_usf,0.4155199035529429,Mo,0.3642868380620392
sigma_112_e,Mo,Zr,gamma_110_usf,0.7463678931928285,Mo,0.3934287925124744,gamma_110_usf,0.3860707078396215
sigma_112_e,Mo,Zr,gamma_112_usf,0.7614218020176434,Mo,0.4150066805352799,gamma_112_usf,0.3784291481551247
sigma_112_e,Mo,Zr,gamma_123_usf,0.7229821652428794,gamma_123_usf,0.4141081472519093,Mo,0.3531321754773293
sigma_112_e,Mo,C12,gamma_110_usf,0.7409307780168451,gamma_110_usf,0.23307055076704022,Mo,0.1970380734258019
sigma_112_e,Mo,C12,gamma_112_usf,0.7425560331735123,gamma_112_usf,0.22557765615628425,C12,0.21487931500091859
sigma_112_e,Mo,C12,gamma_123_usf,0.7497516562815362,gamma_123_usf,0.2948905896877803,C12,0.21048712252468885
sigma_112_e,Mo,C44,gamma_110_usf,0.7111679286914715,gamma_110_usf,0.37752420404291537,Mo,0.1872520662529055
sigma_112_e,Mo,C44,gamma_112_usf,0.7461750865924951,gamma_112_usf,0.305249188571973,Mo,0.23361355545806428
sigma_112_e,Mo,Ecoh_(eV),gamma_110_usf,0.7628391352057514,gamma_110_usf,0.5482883617258093,Mo,0.2590936212486445
sigma_112_e,Mo,Ecoh_(eV),gamma_112_usf,0.7679632571151075,Mo,0.4275443788929161,gamma_112_usf,0.38699753847382645
sigma_112_e,Mo,Ecoh_(eV),gamma_123_usf,0.7542119547098459,gamma_123_usf,0.46294827699229946,Mo,0.32386595861943435
sigma_112_e,Mo,gamma_110_usf,gamma_112_usf,0.7903912982316105,gamma_110_usf,0.2558592456054992,Mo,0.23313365498615302
sigma_112_e,Mo,gamma_110_usf,gamma_123_usf,0.7914703277121101,gamma_123_usf,0.28016722210127415,gamma_110_usf,0.22310985561515687
sigma_112_e,Mo,gamma_112_usf,gamma_123_usf,0.7842423136256733,Mo,0.3005616787380509,gamma_112_usf,0.23718966713184822
sigma_112_e,Mo,gamma_112_usf,tao_110_iss,0.7596378944184629,gamma_112_usf,0.360229848826561,Mo,0.26690071337661964
sigma_112_e,Mo,gamma_112_usf,tao_112_iss,0.7517831907671159,gamma_112_usf,0.3955061438880116,Mo,0.2546313116291837
sigma_112_e,Mo,gamma_123_usf,tao_110_iss,0.7348607493197531,gamma_123_usf,0.31743886216638845,Mo,0.2821256874855768
sigma_112_e,Mo,gamma_123_usf,tao_112_iss,0.7202514652252359,gamma_123_usf,0.39826111775506573,Mo,0.25375162634649806
sigma_112_e,Hf,Zr,gamma_110_usf,0.74478526561149,gamma_110_usf,0.9807820942952025,Zr,-0.00015765577694320924
sigma_112_e,Hf,Zr,gamma_112_usf,0.7648360101507374,gamma_112_usf,1.0556729521150712,Hf,0.0021140693101102744
sigma_112_e,Hf,Zr,gamma_123_usf,0.7588443206091074,gamma_123_usf,0.956017624788939,Hf,0.0036093632410022724
sigma_112_e,Hf,C12,gamma_110_usf,0.7858903667947762,gamma_110_usf,0.4593888775927526,C12,0.2966645911885483
sigma_112_e,Hf,C12,gamma_112_usf,0.7465344523705274,gamma_112_usf,0.4159630514645927,C12,0.3169748801164125
sigma_112_e,Hf,C12,gamma_123_usf,0.7410527601516682,C12,0.4301423803437387,gamma_123_usf,0.3974501678560847
sigma_112_e,Hf,C44,gamma_110_usf,0.7177737304241222,gamma_110_usf,0.650874769500623,C44,0.17972225108214224
sigma_112_e,Hf,C44,gamma_112_usf,0.7227041118065413,gamma_112_usf,0.548791803904097,C44,0.220638025674593
sigma_112_e,Hf,Ecoh_(eV),gamma_110_usf,0.7281520972420436,gamma_110_usf,0.9980405641259539,Hf,0.002036493986654881
sigma_112_e,Hf,Ecoh_(eV),gamma_112_usf,0.7711366483549461,gamma_112_usf,0.9798478256724811,Hf,0.004926795260719693
sigma_112_e,Hf,Ecoh_(eV),gamma_123_usf,0.7607942013321972,gamma_123_usf,1.0041519003576729,Ecoh_(eV),0.0011258230608268555
sigma_112_e,Hf,gamma_110_usf,gamma_112_usf,0.7708030512936234,gamma_112_usf,0.46149658501837587,gamma_110_usf,0.3084474656841588
sigma_112_e,Hf,gamma_110_usf,gamma_123_usf,0.7641800411109849,gamma_123_usf,0.3804897454420451,gamma_110_usf,0.3621119323018747
sigma_112_e,Hf,gamma_110_usf,tao_110_iss,0.7354222675039827,gamma_110_usf,0.6974646217770393,tao_110_iss,0.12209332764269587
sigma_112_e,Hf,gamma_112_usf,gamma_123_usf,0.8026370302029857,gamma_112_usf,0.3993452592298173,gamma_123_usf,0.34626404907109176
sigma_112_e,Hf,gamma_123_usf,tao_110_iss,0.7143952481202943,gamma_123_usf,0.5557551056276911,tao_110_iss,0.12605651288007716
sigma_112_e,Hf,gamma_123_usf,tao_112_iss,0.7465058589442894,gamma_123_usf,0.645306482445505,tao_112_iss,0.12722540116900163
sigma_112_e,Zr,C12,gamma_110_usf,0.7538285930632199,C12,0.4609212796010939,gamma_110_usf,0.35579627014928095
sigma_112_e,Zr,C12,gamma_112_usf,0.7621830885464477,C12,0.4363024490291601,gamma_112_usf,0.31538422421594275
sigma_112_e,Zr,C12,gamma_123_usf,0.7767744536890723,C12,0.3971570789577594,gamma_123_usf,0.33817360001585656
